org_id|abbr|name|address|map_link
1|Bell|Bell Centennial Arena|50 Cassidy Rd, Nepean, ON K2H 6N4|https://maps.app.goo.gl/SpkrBYF4DcA32vqM9
1|Bell Sensplex|Bell Sensplex|1565 Maple Grove Rd, Stittsville, ON K2V 1A3|https://maps.app.goo.gl/Qf2pETP58WkaFcMy9
1|Canterbury|Brian Kilrea Arena (Canterbury)|2185 Arch St, Ottawa, ON K1G 2H5|https://maps.app.goo.gl/vGiEriLa7r8yPyMz8
1|CIHA|Canadian International Hockey Academy|8720 County Rd 17, Rockland, ON K4K 1T2|https://maps.app.goo.gl/eDd64Zj7n6kyPRim8
1|Darwin|Howard Darwin Centennial Arena|1765 Merivale Rd, Nepean, ON K2G 1E1|https://maps.app.goo.gl/pNPKRAP4YPgCp32z9
1|KRC|Kanata Recreation Complex|100 Charlie Rogers Pl, Stittsville, ON K2V 1A2|https://maps.app.goo.gl/LYNVUrKJ93j59ywq5
1|McNabb Arena|McNabb Arena|180 Percy St, Ottawa, ON K1R 6E5| https://maps.app.goo.gl/wRmKC3Bea2212329A
1|MRC-N / Minto N|Minto Recreation Complex - North Rink|3500 Cambrian Rd, Nepean, ON K2J 0E9|https://maps.app.goo.gl/4KEaMdyueKMYwawJ8
1|MRC-S / Minto S|Minto Recreation Complex - South Rink|3500 Cambrian Rd, Nepean, ON K2J 0E9|https://maps.app.goo.gl/4KEaMdyueKMYwawJ8
1|NSPLX1 / Splx- 1|Nepean Sportsplex - Rink #1 (front)|1701 Woodroffe Ave, Nepean, ON K2G 1W2|https://maps.app.goo.gl/XuP9a3BXL6ZpCtHAA
1|NSPLX2 / Splx-2|Nepean Sportsplex - Rink #2 (back)|1701 Woodroffe Ave, Nepean, ON K2G 1W2|https://maps.app.goo.gl/XuP9a3BXL6ZpCtHAA
1|WBA|Walter Baker Sports Centre - Arena A|100 Malvern Dr, Nepean, ON K2J 2G5|https://maps.app.goo.gl/AbAsZxRvnvVfPvRj6
1|WBB|Walter Baker Sports Centre - Arena B|100 Malvern Dr, Nepean, ON K2J 2G5|https://maps.app.goo.gl/AbAsZxRvnvVfPvRj6
